orderid,first_x,first_y,last_x,last_y
1218938,121.513,31.303,121.515,31.302
536118,121.288,31.277,121.302,31.27
122094,121.354,31.346,121.361,31.349
152335,121.531,31.28,121.538,31.272
741983,121.485,31.306,121.489,31.307
1177039,121.509,31.289,121.512,31.291
138825,121.495,31.143,121.516,31.146
395978,121.37,31.112,121.384,31.111
783096,121.495,31.213,121.501,31.211
1313541,121.459,31.211,121.475,31.222
1223059,121.407,31.256,121.416,31.26
1655877,121.374,31.247,121.38,31.244
836886,121.489,31.32,121.506,31.329
786634,121.482,31.257,121.493,31.214
1389706,121.32,31.289,121.327,31.288
252044,121.429,31.192,121.436,31.193
823025,121.393,31.195,121.394,31.195
1143248,121.429,31.198,121.482,31.226
1403381,121.491,31.276,121.513,31.304
668467,121.44,31.213,121.443,31.214
953542,121.42,31.259,121.431,31.262
747491,121.525,31.286,121.529,31.28
607291,121.429,31.298,121.442,31.288
589231,121.477,31.257,121.479,31.263
390091,121.5,31.335,121.506,31.331
1065063,121.432,31.168,121.435,31.163
309579,121.39,31.268,121.398,31.277
136921,121.389,31.069,121.403,31.079
17159,121.443,31.156,121.455,31.153
1529188,121.51,31.289,121.518,31.287
1115686,121.451,31.274,121.455,31.271
687418,121.55,31.225,121.555,31.224
1470373,121.422,31.204,121.434,31.201
189199,121.43,31.275,121.439,31.283
1560838,121.41,31.196,121.413,31.196
265769,121.419,31.275,121.43,31.268
470377,121.479,31.229,121.483,31.223
325859,121.434,31.239,121.449,31.23
744001,121.362,31.134,121.367,31.139
1100249,121.395,31.155,121.402,31.138
587046,121.492,31.27,121.51,31.253
503027,121.387,31.108,121.39,31.104
1211158,121.434,31.215,121.453,31.238
237966,121.452,31.23,121.46,31.222
656877,121.479,31.311,121.485,31.311
949944,121.409,31.179,121.416,31.175
1501925,121.538,31.303,121.541,31.299
37730,121.422,31.272,121.425,31.27
1271677,121.488,31.257,121.495,31.26
427995,121.518,31.275,121.527,31.266
1370000,121.373,31.313,121.384,31.319
393864,121.444,31.225,121.445,31.225
558525,121.485,31.201,121.494,31.208
393557,121.426,31.224,121.445,31.217
397308,121.429,31.204,121.434,31.202
1004409,121.393,31.34,121.427,31.351
