orderid,dist
1240406,.110873883
875285,.110873883
1766799,.110873901
1800982,.110873901
279837,.110873918
1089176,.110873935
1562105,.110873935
1661716,.110873935
53013,.110873935
919654,.110873935
1457550,.110873952
227098,.110873952
229335,.110873952
398530,.110873952
770712,.110873952
834984,.110873952
1437774,.110873970
82216,.110873970
627691,.110873987
740245,.110873987
1348168,.110874004
1667607,.110874004
1703590,.110874004
418245,.110874004
500628,.110874004
1141771,.110874021
1575396,.110874021
189742,.110874021
33436,.110874021
37081,.110874021
576689,.110874021
894465,.110874021
1104504,.110874039
1116494,.110874039
1550112,.110874056
1692675,.110874056
446224,.110874056
288585,.110874091
724951,.110874091
1232843,.110874108
1688649,.110874108
464157,.110874108
548805,.110874108
803807,.110874108
947788,.110874108
1307990,.110874125
1309346,.110874125
1387617,.110874125
1770963,.110874125
537878,.110874125
74236,.110874125
802256,.110874125
859265,.110874125
1691212,.110874142
233890,.110874142
635009,.110874142
217970,.110874160
835593,.110874160
1127936,.110874194
1696618,.110874194
880575,.110874194
1523848,.110874211
765854,.110874211
1049890,.110874229
1168758,.110874229
1255659,.110874229
1369296,.110874229
1616763,.110874229
1769003,.110874229
1783679,.110874229
6325,.110874229
735475,.110874229
190148,.110874246
468879,.110874246
479503,.110874246
1209931,.110874263
647321,.110874263
823927,.110874263
1079524,.110874281
1459738,.110874281
1180453,.110874298
1587290,.110874298
1630843,.110874298
519277,.110874315
1009855,.110874332
1364051,.110874332
1428372,.110874332
1610818,.110874332
1699360,.110874332
1058500,.110874350
161493,.110874350
1804666,.110874350
1736516,.110874384
278306,.110874384
345957,.110874384
1168578,.110874401
48137,.110874401
446285,.110874419
454416,.110874419
398088,.110874436
707437,.110874436
86866,.110874436
889307,.110874436
1018145,.110874453
1284994,.110874453
1224428,.110874471
1244806,.110874471
1470696,.110874471
277067,.110874471
341879,.110874488
654734,.110874488
924766,.110874488
1114935,.110874505
125849,.110874505
549164,.110874505
67437,.110874505
903742,.110874505
1291800,.110874522
153245,.110874522
955481,.110874522
543529,.110874540
401615,.110874557
1217832,.110874574
497001,.110874574
800927,.110874574
1155672,.110874592
248615,.110874592
1127197,.110874626
147614,.110874626
1793283,.110874626
208796,.110874626
45330,.110874626
699998,.110874626
749077,.110874626
892105,.110874626
103277,.110874643
1494925,.110874643
912603,.110874643
1227245,.110874661
1312896,.110874661
893419,.110874661
1625336,.110874678
1414047,.110874695
650663,.110874695
858099,.110874695
902474,.110874695
938333,.110874695
732997,.110874713
1050842,.110874730
1087285,.110874730
1247453,.110874730
1345571,.110874730
300364,.110874730
123057,.110874747
1731906,.110874747
344104,.110874747
1149704,.110874782
1629146,.110874782
1683700,.110874782
1783831,.110874782
1807728,.110874782
722938,.110874782
1491220,.110874799
1774551,.110874799
1131246,.110874816
1534488,.110874816
1549891,.110874816
1734052,.110874816
20619,.110874834
869587,.110874834
1370699,.110874851
1031351,.110874868
109533,.110874868
1323093,.110874868
1638542,.110874868
295836,.110874868
1430950,.110874885
1045896,.110874903
